timestamp,messageType,latencyMs,statusCode,roomId
1760124461333,LEAVE,8,200,4
1760124461332,TEXT,9,200,14
1760124461341,TEXT,0,200,6
1760124461334,TEXT,7,200,4
1760124461338,TEXT,2,200,19
1760124461337,LEAVE,3,200,7
1760124461340,TEXT,2,200,4
1760124461339,TEXT,2,200,7
1760124461334,TEXT,6,200,10
1760124461340,TEXT,2,200,14
1760124461339,TEXT,1,200,11
1760124461340,TEXT,2,200,7
1760124461339,TEXT,2,200,11
1760124461341,TEXT,1,200,11
1760124461342,TEXT,0,200,15
1760124461327,TEXT,404,200,16
1760124461329,TEXT,464,200,16
1760124461329,TEXT,465,200,18
1760124461340,TEXT,454,200,16
1760124461340,TEXT,454,200,16
1760124461334,TEXT,459,200,18
1760124461340,TEXT,458,200,16
1760124461340,TEXT,458,200,16
1760124461330,TEXT,473,200,5
1760124461799,TEXT,4,200,15
1760124461330,TEXT,478,200,5
1760124461331,TEXT,478,200,9
1760124461804,TEXT,5,200,6
1760124461804,TEXT,5,200,8
1760124461799,TEXT,9,200,7
1760124461339,TEXT,469,200,5
1760124461804,JOIN,5,200,11
1760124461799,TEXT,10,200,17
1760124461804,TEXT,5,200,10
1760124461331,TEXT,479,200,9
1760124461804,TEXT,6,200,18
1760124461340,TEXT,470,200,5
1760124461804,TEXT,6,200,16
1760124461340,TEXT,470,200,9
1760124461341,TEXT,469,200,5
1760124461341,TEXT,470,200,9
1760124461799,TEXT,12,200,5
1760124461799,TEXT,12,200,5
1760124461812,TEXT,1,200,2
1760124461812,TEXT,1,200,18
1760124461812,TEXT,1,200,14
1760124461813,TEXT,2,200,15
1760124461813,TEXT,2,200,16
1760124461813,TEXT,2,200,13
1760124461813,TEXT,3,200,2
1760124461813,TEXT,3,200,8
1760124461813,TEXT,3,200,14
1760124461813,TEXT,3,200,19
1760124461813,TEXT,3,200,11
1760124461814,TEXT,3,200,19
1760124461814,TEXT,4,200,15
1760124461814,JOIN,4,200,5
1760124461813,TEXT,4,200,9
1760124461814,TEXT,4,200,4
1760124461813,TEXT,4,200,6
1760124461814,TEXT,4,200,5
1760124461813,TEXT,5,200,13
1760124461814,TEXT,4,200,19
1760124461814,TEXT,4,200,14
1760124461813,TEXT,5,200,18
1760124461813,TEXT,5,200,17
1760124461813,TEXT,4,200,11
1760124461813,TEXT,4,200,16
1760124461814,TEXT,5,200,11
1760124461814,TEXT,4,200,4
1760124461813,TEXT,5,200,6
1760124461814,TEXT,4,200,4
1760124461814,TEXT,5,200,18
1760124461814,TEXT,4,200,14
1760124461813,TEXT,5,200,9
1760124461814,TEXT,4,200,5
1760124461813,TEXT,5,200,6
1760124461814,TEXT,5,200,18
1760124461813,TEXT,6,200,9
1760124461814,TEXT,5,200,5
1760124461814,TEXT,6,200,6
1760124461814,TEXT,7,200,18
1760124461814,TEXT,7,200,18
1760124461813,TEXT,9,200,9
1760124461814,TEXT,9,200,6
1760124461814,LEAVE,9,200,6
1760124461819,TEXT,4,200,6
1760124461819,TEXT,4,200,20
1760124461819,TEXT,4,200,15
1760124461819,TEXT,4,200,15
1760124461820,TEXT,3,200,20
1760124461820,TEXT,4,200,5
1760124461820,TEXT,4,200,2
1760124461820,TEXT,3,200,5
1760124461814,TEXT,9,200,18
1760124461820,TEXT,4,200,11
1760124461820,TEXT,3,200,16
1760124461820,TEXT,4,200,14
1760124461813,TEXT,10,200,9
1760124461814,TEXT,10,200,9
1760124461820,JOIN,3,200,15
1760124461820,TEXT,4,200,19
1760124461820,TEXT,4,200,18
1760124461820,TEXT,4,200,4
1760124461820,JOIN,4,200,17
1760124461820,TEXT,4,200,14
1760124461820,TEXT,4,200,13
1760124461820,TEXT,4,200,2
1760124461820,TEXT,4,200,10
1760124461820,TEXT,4,200,6
1760124461820,TEXT,5,200,13
1760124461824,TEXT,2,200,13
1760124461820,LEAVE,6,200,2
1760124461824,JOIN,5,200,2
1760124461824,TEXT,5,200,15
1760124461824,JOIN,5,200,5
1760124461824,TEXT,5,200,16
1760124461825,TEXT,5,200,13
1760124461825,TEXT,5,200,16
1760124461824,TEXT,5,200,12
1760124461824,TEXT,5,200,12
1760124461824,TEXT,5,200,19
1760124461824,LEAVE,5,200,14
1760124461824,TEXT,5,200,14
1760124461825,TEXT,5,200,16
1760124461825,TEXT,5,200,16
1760124461825,TEXT,5,200,12
1760124461825,LEAVE,9,200,7
1760124461825,LEAVE,9,200,7
1760124461825,TEXT,9,200,7
1760124461825,TEXT,9,200,20
1760124461825,TEXT,9,200,20
1760124461825,TEXT,10,200,8
1760124461825,TEXT,10,200,8
1760124461825,TEXT,10,200,8
1760124461824,TEXT,10,200,5
1760124461825,TEXT,10,200,5
1760124461825,TEXT,10,200,5
1760124461825,TEXT,9,200,14
1760124461825,TEXT,10,200,6
1760124461825,TEXT,10,200,9
1760124461825,TEXT,10,200,10
1760124461825,TEXT,10,200,10
1760124461825,TEXT,10,200,10
1760124461825,TEXT,10,200,2
1760124461826,TEXT,9,200,15
1760124461825,TEXT,10,200,18
1760124461825,TEXT,10,200,16
1760124461825,TEXT,11,200,12
1760124461825,TEXT,11,200,11
1760124461825,TEXT,10,200,6
1760124461825,TEXT,12,200,11
1760124461826,TEXT,11,200,5
1760124461825,TEXT,12,200,12
1760124461825,TEXT,11,200,7
1760124461826,TEXT,10,200,14
1760124461825,TEXT,12,200,17
1760124461826,TEXT,10,200,19
1760124461825,TEXT,11,200,9
1760124461825,TEXT,11,200,8
1760124461826,TEXT,11,200,5
1760124461825,TEXT,13,200,12
1760124461826,LEAVE,12,200,14
1760124461826,TEXT,14,200,18
1760124461825,TEXT,16,200,2
1760124461825,TEXT,15,200,17
1760124461826,TEXT,14,200,14
1760124461827,TEXT,14,200,19
1760124461826,TEXT,15,200,9
1760124461825,TEXT,16,200,4
1760124461825,TEXT,16,200,4
1760124461825,TEXT,16,200,4
1760124461826,TEXT,15,200,20
1760124461827,TEXT,15,200,20
1760124461828,TEXT,14,200,20
1760124461828,TEXT,14,200,18
1760124461828,TEXT,14,200,18
1760124461825,TEXT,17,200,11
1760124461826,TEXT,16,200,2
1760124461825,TEXT,16,200,11
1760124461826,TEXT,16,200,11
