timestamp,messageType,latencyMs,statusCode,roomId
1760133168130,TEXT,7,200,3
1760133168132,TEXT,5,200,1
1760133168131,TEXT,6,200,17
1760133168138,TEXT,0,200,6
1760133168132,TEXT,6,200,17
1760133168139,TEXT,0,200,10
1760133168140,TEXT,0,200,4
1760133168141,TEXT,0,200,18
1760133168141,TEXT,0,200,10
1760133168143,TEXT,0,200,5
1760133168143,TEXT,0,200,10
1760133168143,TEXT,0,200,18
1760133168144,TEXT,0,200,8
1760133168144,TEXT,0,200,18
1760133168145,JOIN,0,200,5
1760133168145,TEXT,0,200,17
1760133168145,TEXT,0,200,14
1760133168146,TEXT,0,200,5
1760133168146,TEXT,1,200,7
1760133168147,TEXT,0,200,20
1760133168146,TEXT,1,200,8
1760133168147,TEXT,0,200,8
1760133168147,TEXT,0,200,10
1760133168148,TEXT,0,200,18
1760133168148,TEXT,0,200,13
1760133168148,TEXT,0,200,4
1760133168149,TEXT,2,200,17
1760133168149,TEXT,2,200,14
1760133168149,TEXT,2,200,7
1760133168149,JOIN,2,200,15
1760133168149,TEXT,2,200,6
1760133168149,TEXT,2,200,5
1760133168149,TEXT,2,200,3
1760133168149,TEXT,2,200,17
1760133168149,TEXT,2,200,1
1760133168149,TEXT,2,200,20
1760133168149,TEXT,2,200,7
1760133168152,TEXT,0,200,12
1760133168152,TEXT,0,200,18
1760133168152,TEXT,0,200,12
1760133168152,TEXT,0,200,17
1760133168153,TEXT,0,200,16
1760133168153,TEXT,0,200,20
1760133168153,TEXT,0,200,4
1760133168154,TEXT,1,200,20
1760133168154,TEXT,1,200,17
1760133168154,TEXT,1,200,12
1760133168154,TEXT,1,200,6
1760133168154,TEXT,1,200,5
1760133168154,LEAVE,2,200,1
1760133168154,TEXT,2,200,2
1760133168154,TEXT,1,200,2
1760133168154,TEXT,1,200,2
1760133168154,TEXT,1,200,2
1760133168155,TEXT,2,200,20
1760133168154,LEAVE,2,200,12
1760133168155,TEXT,2,200,12
1760133168154,TEXT,2,200,6
1760133168155,LEAVE,2,200,6
1760133168155,TEXT,2,200,6
1760133168154,JOIN,3,200,1
1760133168154,TEXT,3,200,10
1760133168154,TEXT,3,200,13
1760133168154,TEXT,3,200,13
1760133168155,TEXT,3,200,13
1760133168155,TEXT,3,200,8
1760133168155,TEXT,2,200,13
1760133168155,TEXT,3,200,8
1760133168156,TEXT,1,200,13
1760133168155,TEXT,3,200,8
1760133168156,TEXT,1,200,13
1760133168154,TEXT,3,200,1
1760133168154,TEXT,3,200,1
1760133168154,TEXT,3,200,15
1760133168154,TEXT,3,200,14
1760133168154,TEXT,3,200,14
1760133168155,TEXT,2,200,14
